"UserID","Date","Windows","StakesC","WinningsC"
11,2015-02-09,1,0.69,0.73
14,2015-02-01,6,111.78,68.73
14,2015-02-02,3,114.11,71.13
14,2015-02-03,2,15,4.38
37,2015-02-01,4,18.15,8.95
37,2015-02-02,10,70.47,50.33
37,2015-02-03,4,40.75,36.63
37,2015-02-04,3,16.41,10.2
37,2015-02-05,4,24.35,16.43
37,2015-02-06,13,67.61,63.51
37,2015-02-07,4,16.58,8.78
37,2015-02-08,6,52.88,37.47
37,2015-02-09,8,185.85,170.75
37,2015-02-12,3,32.35,35.48
37,2015-02-13,1,29.32,16.21
37,2015-02-23,5,93.91,77.05
37,2015-02-25,4,79.25,64.48
37,2015-02-26,1,0,0
37,2015-02-27,1,7.12,5.35
37,2015-02-28,2,31.8,23.57
37,2015-03-02,3,25.32,16.25
37,2015-03-03,4,29.96,19.81
37,2015-03-06,2,17.72,19.32
37,2015-03-07,2,60.31,46.71
37,2015-03-08,3,40.71,30.72
37,2015-03-09,3,85.05,74.08
37,2015-03-10,2,46.55,36.27
37,2015-03-11,3,36.22,27.19
37,2015-03-12,6,148.76,136.67
37,2015-03-13,21,253.37,238.57
37,2015-03-14,2,48.98,39.19
37,2015-03-15,5,23.15,15.81
37,2015-03-16,8,98.93,103.99
37,2015-03-17,7,116.88,104.7
37,2015-03-18,10,135.87,134.89
37,2015-03-19,1,138.91,126.98
37,2015-03-21,4,3.73,4.62
37,2015-03-22,7,115.17,108.92
37,2015-03-23,2,14.6,7.13
37,2015-03-24,7,170.83,173.8
37,2015-03-25,4,66.19,55.53
37,2015-03-26,3,21.38,8.59
37,2015-03-27,2,18.98,8.02
37,2015-04-07,3,116.8,107.92
37,2015-04-12,1,10.82,7.09
37,2015-05-03,3,84.07,81.46
37,2015-05-04,3,21.49,18.23
37,2015-05-05,1,6.9,3.4
37,2015-05-09,1,0.84,0.31
37,2015-05-17,2,3.47,2.81
37,2015-05-18,2,19.86,10.94
37,2015-05-21,3,19.74,9.66
37,2015-11-15,3,48.8,37.57
37,2015-11-16,8,69.26,59.24
37,2015-11-17,1,47.16,37.15
37,2015-11-18,3,37.97,17.98
37,2015-11-20,2,52.38,37.96
37,2015-11-21,1,5.58,0
37,2015-11-27,4,45.54,41.72
37,2015-11-28,1,41.6,34.94
37,2016-02-14,1,13.16,15.48
37,2016-02-15,4,54.72,32.39
37,2016-02-16,1,42.44,37.9
37,2016-02-17,2,11.39,5.94
37,2016-02-20,2,84.51,74.52
37,2016-02-22,1,20.11,22.86
37,2016-02-23,4,57.18,64.07
37,2016-02-24,8,164.79,154.69
37,2016-02-26,2,157.41,152.9
37,2016-02-27,2,141.18,125.42
37,2016-03-06,4,215.09,203.09
37,2016-03-12,4,92.42,82.41
37,2016-03-13,2,39.1,28.59
37,2016-03-19,1,22.06,12.07
37,2016-03-20,2,164.46,154.45
37,2016-03-26,2,27.33,17.33
37,2016-03-30,1,44.77,35.85
37,2016-04-02,3,34.82,23.75
37,2016-04-03,2,113.78,103.76
37,2016-04-05,2,27.95,18.43
37,2016-04-06,2,74.53,64.04
37,2016-04-07,2,209.46,199.47
37,2016-04-09,2,64.45,54.46
37,2016-04-10,1,42.31,32.3
37,2016-04-12,2,102.84,92.85
37,2016-04-13,2,11.05,1.06
37,2016-04-16,3,50.61,40.59
37,2016-04-17,2,83.1,73.1
37,2016-04-18,6,262.92,252.94
37,2016-04-23,1,29.88,19.87
37,2016-04-24,1,47.14,37.15
37,2016-04-30,2,145.76,135.76
37,2016-05-01,2,45.04,35.03
37,2016-05-02,3,32.62,22.63
37,2016-05-03,2,36.42,26.42
37,2016-05-05,1,11.23,1.23
37,2016-05-06,2,61.3,51.3
37,2016-05-07,2,25.13,15.13
37,2016-05-08,2,97.18,87.17
37,2016-05-09,2,27.74,17.74
37,2016-05-11,1,36.38,26.38
37,2016-05-14,1,85.72,75.73
37,2016-05-15,4,245.51,230.53
37,2016-05-16,3,49.5,24.48
37,2016-05-18,3,165.83,145.83
37,2016-05-20,1,45.75,35.75
37,2016-05-21,1,39.63,24.63
37,2016-05-22,1,88.92,82.19
37,2016-05-24,2,65.4,55.17
37,2016-05-26,2,14.5,4.51
37,2016-05-28,6,257.15,316.22
37,2016-05-29,12,655.09,724.54
37,2016-05-30,3,782.05,768.01
37,2016-05-31,1,264.3,161.99
37,2016-11-20,4,66.51,82.36
37,2016-11-22,3,212.37,244.83
37,2016-11-23,2,502.33,564.33
37,2016-11-24,1,180.1,124.97
37,2017-02-25,6,318.12,298.32
37,2017-12-30,1,43.58,30.76
37,2018-01-24,1,12.48,9.91
38,2015-02-01,1,0.75,0.89
38,2015-02-02,1,12.08,14.23
38,2015-02-03,1,16.85,14.66
38,2015-02-04,2,37.24,24.84
38,2015-02-05,3,84.37,88.29
38,2015-02-06,14,112.55,86.24
38,2015-02-07,2,9.19,8.72
38,2015-02-08,1,10.41,9.54
38,2015-02-09,2,9.38,6.74
38,2015-02-16,1,13.49,16.2
38,2015-02-18,1,10.7,12.24
38,2015-02-21,1,6.97,8.85
38,2015-02-23,2,43.15,34.94
38,2015-02-24,1,11.3,14.52
38,2015-02-25,2,2.57,1.41
38,2015-03-01,1,22.69,19.15
38,2015-03-02,2,2.78,3.32
38,2015-03-05,6,14.62,12.24
38,2015-03-07,1,14.46,10.84
38,2015-03-08,6,57.15,34.03
38,2015-08-13,1,7.3,3.67
38,2015-08-18,2,2.34,1.93
38,2015-09-08,1,3.58,2.75
38,2015-10-24,1,8.03,8.08
38,2015-12-05,1,6.85,7.41
38,2016-01-15,1,6.8,2.3
38,2016-01-28,1,1.85,3.2
38,2016-07-06,4,32.53,22.3
38,2016-07-07,2,2.11,0.05
38,2016-07-08,6,22.91,28.24
38,2016-07-09,1,1.12,0.4
38,2016-07-10,2,36.88,35.79
38,2016-07-11,4,15.65,17.81
38,2016-07-12,1,2.34,1.44
38,2016-07-20,1,6.72,6.83
38,2016-10-30,1,27.08,33.05
38,2016-11-05,2,28.94,23.12
38,2016-11-06,1,22.61,29.75
38,2016-11-08,2,6.59,6.78
38,2016-11-09,2,13.39,12.04
38,2016-11-11,3,27.25,33.67
38,2016-11-12,3,15.19,14.83
38,2016-11-16,3,14.16,17.49
38,2016-11-18,1,0.54,0
38,2016-12-22,3,25.21,28.21
38,2016-12-23,2,15.93,17.51
38,2016-12-24,1,11.85,13.45
38,2016-12-25,1,17.16,20.06
38,2016-12-30,2,11.43,7.44
38,2016-12-31,1,0.92,0.85
38,2017-01-02,10,60.29,44.82
38,2017-01-03,3,12.85,14.8
38,2017-01-04,1,4.89,6.69
38,2017-01-06,1,2.16,0.21
38,2017-01-07,1,3.17,3.18
38,2017-01-11,1,27.63,32.06
38,2017-01-14,1,4.67,0.9
38,2017-01-17,1,8.08,10.35
38,2017-09-13,2,5.64,6.49
38,2017-10-01,1,0.89,0.08
38,2017-10-02,1,0,0
38,2018-05-05,1,2.45,3.81
38,2018-05-27,1,1.46,0
38,2018-07-08,1,0.73,1.22
38,2019-01-01,1,4.66,7.03
38,2019-01-09,1,3.87,0.24
38,2019-02-12,1,2.26,4.06
38,2019-03-06,1,2.27,0.5
38,2019-06-09,1,15.03,13.54
38,2019-06-18,1,0.95,0.93
38,2019-06-19,3,3.57,3.6
42,2015-02-01,13,477.35,432.35
42,2015-02-02,10,303.87,381.98
42,2015-02-03,7,461.42,363.62
42,2015-02-04,4,180.12,113.72
42,2015-02-05,3,240.46,247.48
42,2015-02-06,3,153.28,140.91
42,2015-02-07,10,248.74,210.74
42,2015-02-08,4,60.76,44.57
42,2015-02-10,1,36.13,11.77
70,2016-04-08,3,10.45,1.67
70,2018-09-23,1,7.78,7.46
70,2018-09-27,1,9.31,5.06
73,2015-02-15,2,10.76,5.78
73,2015-03-09,2,16.05,11.05
87,2015-02-01,4,76.39,85.75
124,2015-02-01,16,149.71,170.25
124,2015-02-02,7,75.78,66.96
124,2015-02-03,3,20.46,15.45
124,2015-02-04,4,43.85,37.15
124,2015-06-07,1,6.78,5.01
124,2015-06-08,8,130.57,149.32
124,2015-06-09,4,32.89,23.1
124,2015-06-10,3,18.82,14.53
124,2015-06-11,5,74.32,77.79
124,2015-06-13,4,21.89,21.1
124,2015-06-14,5,36.05,46.07
124,2015-06-15,3,32.03,20.05
124,2015-06-16,1,4.75,2.08
124,2015-06-18,3,61.15,41.15
124,2015-06-19,2,31.08,25.1
124,2015-06-22,10,179.5,187.22
124,2015-06-23,5,35.44,36.44
124,2015-06-24,6,38.48,19.16
124,2015-06-25,2,10.51,1.65
124,2015-06-26,2,78.19,72.63
124,2015-06-27,4,111.18,103.13
124,2015-06-28,2,16.56,8.08
124,2015-07-07,2,21.51,18.07
124,2015-07-15,1,5.67,9.57
124,2015-07-16,2,16.58,7.65
125,2015-02-01,32,546.47,593.47
125,2015-02-03,7,1185.42,1087.83
125,2015-02-05,8,75.82,71.28
125,2015-02-06,19,796.76,1004.94
125,2015-02-07,18,838.95,623.44
125,2015-02-10,14,127.39,155.6
125,2015-02-11,31,2601.51,2243.28
125,2015-02-13,9,155.31,166.59
125,2015-02-14,19,242.23,284.34
125,2015-02-15,30,571.82,564.89
125,2015-02-16,9,896.96,1032.1
125,2015-02-17,1,39.49,58.35
125,2015-02-19,1,12.17,0
125,2015-02-20,4,1783.96,1426.72
125,2015-02-21,1,1.94,1.11
125,2015-02-27,11,555.9,455.89
125,2015-03-01,6,44.27,59.09
125,2015-03-02,2,540.8,415.97
125,2015-03-07,19,766.54,678.38
125,2015-03-08,39,463.11,351.27
125,2015-03-09,13,297.91,342.07
125,2015-03-10,12,267.67,203.81
125,2015-03-13,7,41.83,31.09
