"UserID","Date","Trnmnts","StakesT","WinningsT"
11,2015-02-09,1,8.77886,0
11,2015-02-16,4,17.56852,7.99368
11,2015-02-18,4,3.25246,2.60197
11,2015-02-19,2,1.75723,1.49437
11,2015-04-13,2,0.66056,0.33972
11,2016-01-22,1,0.20229,0
14,2015-02-01,1,0.4426,0
22,2015-02-03,3,2.01395,0
22,2015-02-04,9,14.18601,22.06519
22,2015-02-06,1,1.75577,0
22,2015-02-10,3,5.82781,0
22,2015-02-13,1,0.8816,0
22,2015-03-19,5,14.16699,62.57083
22,2015-03-20,3,6.52498,0
22,2015-03-21,9,27.9642,18.84787
22,2015-03-22,2,9.3214,0
22,2015-03-23,1,0.92447,0
22,2015-03-24,2,4.60405,0
22,2015-03-25,3,11.88517,49.49717
22,2015-03-26,3,17.35635,0
22,2015-03-31,3,7.37327,13.95392
22,2015-04-01,2,4.64167,0
22,2015-05-28,2,5.51166,21.95481
22,2016-02-19,8,6.97061,21.25363
22,2016-02-20,14,11.86356,4.758
22,2016-02-21,11,15.85704,0.53966
22,2016-02-22,3,0,4.94689
22,2016-02-23,4,12.91535,41.54587
22,2016-02-24,11,36.66946,8.65479
22,2016-02-25,2,6.99561,0
22,2016-02-26,6,5.98781,0
22,2016-03-09,3,0.78042,1.81495
22,2016-03-10,2,1.50182,0
38,2015-02-01,1,0.88519,0
38,2015-02-02,4,3.54076,1.50482
38,2015-02-05,1,1.74688,17.46877
38,2015-02-06,15,44.70993,12.61754
38,2015-02-07,6,12.2904,15.80194
38,2015-02-08,2,3.51154,0
38,2015-02-12,3,5.3013,0
38,2015-02-13,3,5.2896,3.17376
38,2015-02-14,1,1.7632,0
38,2015-02-16,4,7.0274,4.7435
38,2015-02-17,1,1.75685,0
38,2015-02-18,8,14.05604,17.39617
38,2015-02-19,1,1.75809,3.16456
38,2015-02-21,1,1.75485,0
38,2015-02-25,1,1.76538,3.17769
38,2015-02-28,2,10.60633,3.1819
38,2015-03-01,1,1.76772,0
38,2015-03-02,2,2.01054,0
38,2015-03-05,2,3.59196,0
38,2015-03-15,1,0,0
38,2015-03-22,2,3.72856,3.3557
38,2015-08-13,1,0.90736,0
38,2015-08-15,1,1.7963,8.08335
38,2015-08-16,1,1.7963,0
38,2015-08-17,2,13.47225,25.00449
38,2015-08-18,2,5.40979,0
38,2015-08-23,3,8.06669,8.06668
38,2015-08-24,4,9.73473,6.38928
38,2015-08-30,3,7.96954,5.87089
38,2015-09-05,3,5.81031,2.53866
38,2015-09-06,10,11.62062,10.43175
38,2015-09-07,3,5.37813,3.41082
38,2015-09-10,1,1.78971,0
38,2015-09-14,6,11.53909,5.49466
38,2015-09-18,6,13.25807,3.18021
38,2015-09-19,2,3.53356,0
38,2015-09-20,1,1.76678,0
38,2015-09-21,4,21.24836,35.83887
38,2015-09-22,3,5.31681,0
38,2015-09-23,2,2.67091,1.37011
38,2015-09-24,4,19.7398,0
