"UserID","WithdrawalID","SummaryDate","ProcessDate","ProcessTime","PayMeth","PayMethCat","CardType","Amount","Status"
167,1,2015-02-01,2015-02-01,"02:04:09","VISA","EEA debit/credit card","Und",60.21643,"S"
167,2,2015-02-01,2015-02-01,"02:27:17","VISA","EEA debit/credit card","Und",26.76286,"R"
598,17,2015-02-01,2015-02-01,"19:02:45","PayPal","eWallet","Und",35,"S"
598,21,2015-02-01,2015-02-01,"19:26:46","PayPal","eWallet","Und",50,"S"
124,36,2015-02-01,2015-02-01,"22:59:05","PayPal","eWallet","Und",25,"S"
167,42,2015-02-02,2015-02-02,"00:49:54","VISA","EEA debit/credit card","Und",28.77007,"R"
1793,46,2015-02-02,2015-02-02,"04:30:00","PayPal","eWallet","Und",47.11,"S"
3005,47,2015-02-02,2015-02-02,"04:30:14","PayPal","eWallet","Und",50,"S"
1137,52,2015-02-02,2015-02-02,"09:26:36","VISA","EEA debit/credit card","Und",146.20549,"S"
167,55,2015-02-02,2015-02-02,"11:05:32","VISA","EEA debit/credit card","Und",52.88341,"R"
87,72,2015-02-02,2015-02-02,"17:00:04","VISA","EEA debit/credit card","Und",59.90086,"R"
3779,107,2015-02-03,2015-02-03,"00:02:24","PayPal","eWallet","Und",50,"S"
4227,118,2015-02-03,2015-02-03,"11:10:20","Banktransfer","Bank Transfer","Und",253.88968,"R"
5537,128,2015-02-03,2015-02-03,"14:20:04","VISA","EEA debit/credit card","Und",1950,"S"
1137,178,2015-02-03,2015-02-03,"23:54:49","VISA","EEA debit/credit card","Und",252.61726,"S"
2325,225,2015-02-04,2015-02-04,"16:38:04","PayPal","eWallet","Und",100,"S"
8209,235,2015-02-04,2015-02-04,"18:52:36","VISA","EEA debit/credit card","Und",15,"S"
1023,242,2015-02-04,2015-02-04,"20:06:01","Banktransfer","Bank Transfer","Und",10,"S"
9193,244,2015-02-04,2015-02-04,"20:27:05","PayPal","eWallet","Und",10,"S"
1862,250,2015-02-04,2015-02-04,"21:00:30","Banktransfer","Bank Transfer","Und",100,"S"
8209,279,2015-02-04,2015-02-04,"23:00:33","VISA","EEA debit/credit card","Und",10.5,"S"
9161,332,2015-02-05,2015-02-05,"13:52:32","Moneybookers","eWallet","Und",23.15486,"S"
8940,336,2015-02-05,2015-02-05,"14:39:42","PayPal","eWallet","Und",30,"S"
1023,337,2015-02-05,2015-02-05,"14:46:12","Banktransfer","Bank Transfer","Und",80,"S"
8209,348,2015-02-05,2015-02-05,"15:59:02","VISA","EEA debit/credit card","Und",20,"S"
8209,351,2015-02-05,2015-02-05,"16:09:07","VISA","EEA debit/credit card","Und",15,"S"
2822,360,2015-02-05,2015-02-05,"17:05:44","PayPal","eWallet","Und",10,"S"
6557,375,2015-02-05,2015-02-05,"19:42:35","PayPal","eWallet","Und",230,"R"
8983,377,2015-02-05,2015-02-05,"19:57:33","PayPal","eWallet","Und",1000,"S"
5213,386,2015-02-05,2015-02-05,"20:38:18","PayPal","eWallet","Und",50.44,"S"
9193,392,2015-02-05,2015-02-05,"21:42:04","PayPal","eWallet","Und",100,"S"
2092,419,2015-02-06,2015-02-06,"02:36:57","VISA","EEA debit/credit card","Und",1326.22937,"R"
7424,420,2015-02-06,2015-02-06,"03:49:11","VISA","EEA debit/credit card","Und",2620.31619,"S"
