"userid","total_deposited","last_play","days_inactive","status"
59212,237773.06,"2020-04-26",250,"Churned"
35834,177897.25,"2016-03-01",1767,"Churned"
30147,144328.00,"2015-02-26",2136,"Churned"
61454,137685.00,"2017-12-31",1097,"Churned"
16895,120279.64,"2020-03-14",293,"Churned"
62353,104108.00,"2018-11-03",790,"Churned"
15573,102562.00,"2016-05-29",1678,"Churned"
972,90704.47,"2018-11-09",784,"Churned"
4316,79020.00,"2016-02-14",1783,"Churned"
5210,77099.78,"2018-08-05",880,"Churned"
65229,77033.00,"2016-02-15",1782,"Churned"
13996,68182.00,"2019-11-29",399,"Churned"
20660,66811.04,"2015-03-01",2133,"Churned"
55272,63367.06,"2018-07-24",892,"Churned"
44196,61391.50,"2017-02-28",1403,"Churned"
14462,61135.01,"2018-04-18",989,"Churned"
36647,61061.00,"2020-04-22",254,"Churned"
41128,60476.00,"2020-03-30",277,"Churned"
32552,60255.80,"2017-04-03",1369,"Churned"
53751,59699.00,"2019-05-31",581,"Churned"
26778,58968.00,"2020-06-28",187,"Churned"
63058,57411.63,"2020-02-27",309,"Churned"
31136,56769.06,"2020-06-29",186,"Churned"
41630,54926.00,"2020-07-04",181,"Churned"
66986,54507.00,"2019-11-09",419,"Churned"
9977,54252.00,"2020-06-26",189,"Churned"
2822,53798.50,"2016-12-25",1468,"Churned"
33395,49936.15,"2018-04-08",999,"Churned"
49233,49303.86,"2020-07-12",173,"Churned"
53737,48805.82,"2020-05-12",234,"Churned"
47892,48180.80,"2018-02-07",1059,"Churned"
62918,47369.31,"2020-03-24",283,"Churned"
42482,43692.93,"2016-03-09",1759,"Churned"
39739,42767.93,"2015-07-12",2000,"Churned"
52403,42555.00,"2018-12-23",740,"Churned"
71535,42344.00,"2019-08-02",518,"Churned"
36718,42283.00,"2017-03-19",1384,"Churned"
16199,41634.95,"2018-12-16",747,"Churned"
2092,41616.93,"2020-03-29",278,"Churned"
37324,41036.00,"2020-07-01",184,"Churned"
11906,40096.00,"2020-05-29",217,"Churned"
55148,39925.92,"2020-04-18",258,"Churned"
43598,39883.00,"2020-07-26",159,"Churned"
13929,39273.98,"2018-12-26",737,"Churned"
54591,39087.00,"2019-10-03",456,"Churned"
49429,38472.49,"2018-03-16",1022,"Churned"
55822,38289.50,"2020-02-19",317,"Churned"
12297,38251.00,"2015-02-17",2145,"Churned"
22595,36939.03,"2020-05-06",240,"Churned"
985,34940.00,"2020-07-20",165,"Churned"
2090,33829.00,"2019-06-29",552,"Churned"
39046,33555.00,"2018-08-25",860,"Churned"
60063,33504.53,"2017-01-17",1445,"Churned"
56056,32673.65,"2015-09-10",1940,"Churned"
23160,31598.86,"2018-03-13",1025,"Churned"
10052,30976.50,"2019-04-09",633,"Churned"
13811,30575.00,"2017-12-25",1103,"Churned"
34304,30440.00,"2016-12-09",1484,"Churned"
17612,30364.40,"2018-08-27",858,"Churned"
22587,30200.00,"2015-11-14",1875,"Churned"
5886,30082.27,"2020-02-10",326,"Churned"
46073,29936.73,"2019-02-25",676,"Churned"
29623,29628.17,"2019-11-09",419,"Churned"
55065,29029.00,"2019-01-07",725,"Churned"
56833,28875.00,"2019-10-03",456,"Churned"
33073,28738.00,"2018-06-15",931,"Churned"
29382,28190.94,"2020-01-02",365,"Churned"
55672,27972.28,"2020-07-28",157,"Churned"
10192,27588.20,"2020-04-21",255,"Churned"
62443,27535.00,"2015-12-04",1855,"Churned"
63697,27101.99,"2019-03-15",658,"Churned"
4980,27078.93,"2016-06-18",1658,"Churned"
36835,26180.41,"2015-03-08",2126,"Churned"
9593,26024.36,"2016-11-10",1513,"Churned"
22118,25856.02,"2016-02-02",1795,"Churned"
28496,25811.14,"2020-06-15",200,"Churned"
18338,25681.80,"2021-01-01",0,"Active"
56223,25611.19,"2020-07-28",157,"Churned"
24416,24904.96,"2017-03-11",1392,"Churned"
8442,24565.40,"2017-05-03",1339,"Churned"
38979,24160.00,"2016-01-10",1818,"Churned"
37670,24018.40,"2017-08-19",1231,"Churned"
10695,23861.60,"2015-10-18",1902,"Churned"
45300,23457.84,"2015-09-30",1920,"Churned"
66273,23319.78,"2018-04-13",994,"Churned"
27528,23034.14,"2017-08-29",1221,"Churned"
39907,22888.91,"2015-11-02",1887,"Churned"
52268,22488.00,"2016-10-29",1525,"Churned"
40210,22449.18,"2016-01-20",1808,"Churned"
65525,22240.00,"2018-04-03",1004,"Churned"
62642,21884.00,"2020-07-28",157,"Churned"
28729,21472.88,"2015-09-20",1930,"Churned"
20179,21307.57,"2018-09-10",844,"Churned"
