"userid","total_deposited","age","gender","countryid","segment"
59212,237773.06,39,"M",276,"VIP"
35834,177897.25,58,"M",724,"VIP"
30147,144328.00,30,"M",40,"VIP"
61454,137685.00,38,"M",276,"VIP"
16895,120279.64,27,"F",276,"VIP"
62353,104108.00,36,"M",40,"VIP"
15573,102562.00,31,"M",276,"VIP"
972,90704.47,33,"M",528,"VIP"
4316,79020.00,37,"M",276,"VIP"
5210,77099.78,26,"M",826,"VIP"
65229,77033.00,39,"M",56,"VIP"
13996,68182.00,33,"M",56,"VIP"
20660,66811.04,24,"M",56,"VIP"
55272,63367.06,26,"M",826,"VIP"
44196,61391.50,23,"M",276,"VIP"
14462,61135.01,31,"M",788,"VIP"
36647,61061.00,23,"M",276,"VIP"
41128,60476.00,32,"M",250,"VIP"
32552,60255.80,27,"M",276,"VIP"
53751,59699.00,24,"M",40,"VIP"
26778,58968.00,29,"M",56,"VIP"
63058,57411.63,18,"M",56,"VIP"
31136,56769.06,26,"M",250,"VIP"
41630,54926.00,20,"M",528,"VIP"
66986,54507.00,20,"M",276,"VIP"
9977,54252.00,33,"M",250,"VIP"
2822,53798.50,52,"F",276,"VIP"
33395,49936.15,31,"M",276,"VIP"
49233,49303.86,35,"M",682,"VIP"
53737,48805.82,18,"M",528,"VIP"
47892,48180.80,24,"M",40,"VIP"
62918,47369.31,31,"M",56,"VIP"
42482,43692.93,25,"M",276,"VIP"
39739,42767.93,27,"M",40,"VIP"
52403,42555.00,24,"M",56,"VIP"
71535,42344.00,38,"M",442,"VIP"
36718,42283.00,27,"M",276,"VIP"
16199,41634.95,22,"M",756,"VIP"
2092,41616.93,29,"M",826,"VIP"
37324,41036.00,49,"M",56,"VIP"
11906,40096.00,18,"M",528,"VIP"
55148,39925.92,21,"M",276,"VIP"
43598,39883.00,40,"F",250,"VIP"
13929,39273.98,21,"M",56,"VIP"
54591,39087.00,25,"M",528,"VIP"
49429,38472.49,27,"M",250,"VIP"
55822,38289.50,27,"M",250,"VIP"
12297,38251.00,22,"M",276,"VIP"
22595,36939.03,24,"M",250,"VIP"
985,34940.00,18,"M",724,"VIP"
2090,33829.00,27,"M",276,"VIP"
39046,33555.00,26,"M",276,"VIP"
60063,33504.53,22,"M",250,"VIP"
56056,32673.65,29,"M",203,"VIP"
23160,31598.86,27,"M",756,"VIP"
10052,30976.50,21,"M",56,"VIP"
13811,30575.00,26,"M",528,"VIP"
34304,30440.00,30,"M",276,"VIP"
17612,30364.40,23,"M",250,"VIP"
22587,30200.00,28,"F",40,"VIP"
5886,30082.27,38,"M",250,"VIP"
46073,29936.73,35,"M",528,"VIP"
29623,29628.17,22,"M",56,"VIP"
55065,29029.00,21,"M",40,"VIP"
56833,28875.00,36,"M",724,"VIP"
33073,28738.00,25,"M",276,"VIP"
29382,28190.94,24,"M",276,"VIP"
55672,27972.28,25,"M",784,"VIP"
10192,27588.20,32,"M",250,"VIP"
62443,27535.00,25,"F",276,"VIP"
63697,27101.99,37,"M",724,"VIP"
4980,27078.93,20,"M",724,"VIP"
36835,26180.41,30,"M",756,"VIP"
9593,26024.36,32,"M",250,"VIP"
22118,25856.02,20,"M",40,"VIP"
28496,25811.14,32,"M",352,"VIP"
18338,25681.80,36,"M",250,"VIP"
56223,25611.19,27,"M",250,"VIP"
24416,24904.96,32,"M",756,"VIP"
8442,24565.40,25,"M",40,"VIP"
38979,24160.00,25,"M",276,"VIP"
37670,24018.40,28,"M",250,"VIP"
10695,23861.60,24,"F",578,"VIP"
45300,23457.84,32,"M",56,"VIP"
66273,23319.78,20,"M",703,"VIP"
27528,23034.14,22,"M",250,"VIP"
39907,22888.91,27,"M",250,"VIP"
52268,22488.00,27,"M",276,"VIP"
40210,22449.18,24,"M",250,"VIP"
65525,22240.00,24,"M",276,"VIP"
62642,21884.00,36,"M",724,"VIP"
28729,21472.88,24,"M",250,"VIP"
20179,21307.57,31,"M",348,"VIP"
16555,20957.00,19,"M",250,"VIP"
41975,20725.89,32,"M",724,"VIP"
68474,20379.36,23,"M",250,"VIP"
49733,20325.22,26,"M",276,"VIP"
14666,20242.90,23,"M",276,"VIP"
60975,20015.60,21,"F",276,"VIP"
20500,20008.94,34,"M",250,"VIP"
6078,20000.00,33,"M",276,"VIP"
59628,19627.92,39,"M",756,"VIP"
62947,19467.99,19,"M",276,"VIP"
41533,19424.19,19,"M",276,"VIP"
23158,19319.44,29,"F",250,"VIP"
17053,19230.98,23,"M",276,"VIP"
51648,18835.90,22,"F",40,"VIP"
56642,18725.27,26,"M",276,"VIP"
7491,18710.20,20,"M",276,"VIP"
23402,18455.54,25,"M",276,"VIP"
52777,18350.00,25,"M",40,"VIP"
31029,18244.31,25,"M",124,"VIP"
41235,18235.27,27,"M",528,"VIP"
3960,18198.00,31,"M",276,"VIP"
35543,17909.93,21,"M",756,"VIP"
43007,17745.00,24,"M",276,"VIP"
66618,17111.40,36,"M",276,"VIP"
57406,17094.72,19,"M",528,"VIP"
48594,17081.00,22,"M",56,"VIP"
16996,17052.30,28,"M",276,"VIP"
7345,16847.11,20,"M",528,"VIP"
58402,16734.19,25,"M",56,"VIP"
4396,16674.00,25,"M",276,"VIP"
21620,16550.00,26,"F",724,"VIP"
58309,16422.00,28,"F",528,"VIP"
49048,16070.00,24,"M",40,"VIP"
23099,16061.78,32,"M",276,"VIP"
4888,16035.63,27,"M",203,"VIP"
61532,15982.00,22,"M",276,"VIP"
66460,15923.10,27,"M",276,"VIP"
55759,15911.59,18,"M",826,"VIP"
32926,15790.03,39,"M",276,"VIP"
68319,15683.00,32,"M",788,"VIP"
42192,15664.40,25,"M",276,"VIP"
9093,15574.11,26,"M",752,"VIP"
17560,15435.00,19,"M",276,"VIP"
64894,15400.00,27,"M",40,"VIP"
51366,15370.78,27,"M",528,"VIP"
16845,15328.00,24,"M",56,"VIP"
28732,15317.97,27,"M",826,"VIP"
29821,15277.50,28,"M",276,"VIP"
52573,15214.98,30,"M",250,"VIP"
3933,15057.35,35,"M",724,"VIP"
62452,15024.00,23,"M",724,"VIP"
227,14878.00,35,"M",724,"VIP"
50289,14727.55,22,"M",528,"VIP"
55538,14642.00,24,"M",724,"VIP"
63909,14617.56,24,"M",276,"VIP"
7334,14580.00,21,"M",276,"VIP"
6946,14501.80,23,"M",276,"VIP"
53960,14481.94,21,"M",124,"VIP"
33327,14358.32,38,"M",276,"VIP"
57584,14340.00,24,"M",724,"VIP"
64699,14103.94,35,"M",826,"VIP"
17078,14066.18,25,"M",276,"VIP"
68029,14020.00,26,"M",276,"VIP"
2683,13968.42,18,"M",276,"VIP"
30478,13966.00,38,"M",276,"VIP"
45041,13948.73,22,"F",756,"VIP"
19450,13930.00,44,"F",56,"VIP"
18065,13846.00,27,"F",724,"VIP"
69225,13826.00,26,"M",724,"VIP"
37326,13655.90,24,"M",56,"VIP"
39253,13363.50,18,"M",276,"VIP"
21628,13313.61,41,"M",826,"VIP"
46802,13114.59,19,"M",756,"VIP"
9896,13075.00,27,"M",276,"VIP"
27052,12900.00,22,"M",276,"VIP"
8871,12743.00,19,"M",56,"VIP"
6902,12487.20,20,"M",56,"VIP"
62692,12485.00,28,"M",40,"VIP"
39091,12474.00,30,"M",276,"VIP"
50849,12415.40,25,"M",250,"VIP"
58678,12394.00,21,"M",56,"VIP"
20187,12292.85,28,"M",756,"VIP"
29932,12270.98,28,"M",250,"VIP"
4961,12150.00,42,"M",276,"VIP"
66691,12107.42,25,"M",276,"VIP"
27872,12070.60,18,"M",250,"VIP"
47710,11849.00,39,"M",276,"VIP"
4580,11846.11,28,"M",40,"VIP"
28690,11819.05,44,"M",250,"VIP"
43210,11794.17,19,"M",276,"VIP"
43585,11755.96,31,"M",40,"VIP"
39164,11689.43,25,"M",826,"VIP"
5639,11654.49,36,"M",484,"VIP"
38158,11642.52,18,"M",276,"VIP"
10562,11628.00,27,"M",276,"VIP"
55614,11604.25,29,"F",756,"VIP"
69670,11598.78,29,"M",250,"VIP"
47540,11523.64,19,"M",826,"VIP"
71398,11520.00,27,"M",56,"VIP"
20888,11511.26,39,"M",250,"VIP"
66516,11462.82,18,"M",756,"VIP"
14395,11432.00,36,"M",276,"VIP"
21670,11410.96,26,"M",826,"VIP"
67872,11404.40,28,"M",250,"VIP"
70498,11280.42,24,"M",250,"VIP"
19842,11280.00,22,"M",40,"VIP"
42990,11214.10,18,"M",276,"VIP"
22248,11209.88,25,"M",276,"VIP"
43622,11129.56,22,"M",276,"VIP"
68745,11096.00,27,"M",40,"VIP"
46647,10924.16,32,"M",276,"VIP"
39522,10890.00,20,"M",250,"VIP"
45626,10828.80,27,"M",250,"VIP"
43283,10775.00,20,"M",40,"VIP"
41355,10664.00,24,"M",528,"VIP"
32992,10625.90,25,"M",442,"VIP"
56279,10624.90,18,"M",756,"VIP"
39134,10574.68,18,"M",40,"VIP"
22258,10550.84,37,"M",250,"VIP"
41248,10410.00,27,"M",528,"VIP"
47245,10236.00,19,"M",724,"VIP"
39829,10112.00,26,"M",276,"VIP"
62529,10110.82,27,"M",643,"VIP"
4521,10064.96,32,"M",250,"VIP"
68345,10038.27,23,"M",826,"VIP"
54811,10027.18,36,"M",756,"VIP"
56009,10027.10,36,"M",788,"VIP"
69435,9953.78,25,"M",826,"VIP"
23034,9946.89,35,"M",276,"VIP"
68759,9914.14,31,"M",826,"VIP"
6557,9885.00,27,"M",276,"VIP"
23563,9849.20,29,"M",504,"VIP"
51708,9738.26,19,"M",528,"VIP"
50342,9735.45,26,"M",788,"VIP"
10917,9660.00,20,"M",250,"VIP"
35621,9628.30,19,"M",250,"VIP"
3841,9555.50,34,"M",276,"VIP"
64206,9520.70,23,"M",276,"VIP"
17252,9479.03,30,"M",638,"VIP"
13061,9332.71,25,"M",250,"VIP"
64273,9327.53,33,"M",756,"VIP"
34675,9300.00,27,"M",40,"VIP"
4227,9257.27,25,"M",203,"VIP"
50642,9139.00,31,"M",826,"VIP"
22385,9135.55,48,"M",276,"VIP"
13637,9051.79,29,"M",276,"VIP"
3805,9030.60,34,"M",276,"VIP"
19146,9014.80,40,"M",276,"VIP"
40560,8904.30,36,"M",250,"VIP"
14846,8880.00,21,"M",276,"VIP"
56441,8784.50,24,"M",528,"VIP"
23003,8766.60,36,"M",250,"VIP"
64938,8695.00,31,"M",724,"VIP"
65951,8585.95,23,"M",784,"VIP"
40300,8529.00,19,"M",56,"VIP"
29367,8514.60,24,"F",40,"VIP"
64472,8465.00,27,"M",250,"VIP"
