"userid","total_withdrawals","successful","reversed","reversal_rate"
13448,4,0,4,100.00
14131,4,0,4,100.00
50195,3,0,3,100.00
45847,15,0,15,100.00
4592,14,0,14,100.00
62947,9,0,9,100.00
67697,5,0,5,100.00
14482,5,0,5,100.00
47123,3,0,3,100.00
29575,19,0,19,100.00
42576,3,0,3,100.00
19008,16,0,16,100.00
22252,3,0,3,100.00
10562,41,0,41,100.00
71955,19,0,19,100.00
37142,3,0,3,100.00
12042,11,0,11,100.00
45443,3,0,3,100.00
58110,4,0,4,100.00
59529,3,0,3,100.00
39829,14,0,14,100.00
63444,9,0,9,100.00
70600,4,0,4,100.00
41663,18,0,18,100.00
28079,4,0,4,100.00
40418,3,0,3,100.00
66590,5,0,5,100.00
26249,3,0,3,100.00
23753,299,1,298,99.67
63909,39,1,38,97.44
57406,116,3,113,97.41
39739,635,25,610,96.06
67644,23,1,22,95.65
21422,19,1,18,94.74
46802,29,2,27,93.10
56833,189,15,174,92.06
66736,12,1,11,91.67
38473,47,4,43,91.49
16895,1184,102,1082,91.39
28570,52,5,47,90.38
62443,1925,195,1730,89.87
56189,88,9,79,89.77
7491,448,47,401,89.51
33951,38,4,34,89.47
3755,19,2,17,89.47
33914,9,1,8,88.89
38364,17,2,15,88.24
15886,17,2,15,88.24
35329,25,3,22,88.00
4888,33,4,29,87.88
65530,8,1,7,87.50
64454,8,1,7,87.50
31521,8,1,7,87.50
11806,46,6,40,86.96
13996,551,72,479,86.93
16331,53,7,46,86.79
7345,99,14,85,85.86
8221,7,1,6,85.71
27872,7,1,6,85.71
32552,176,27,149,84.66
55272,208,33,175,84.13
972,181,30,151,83.43
60234,6,1,5,83.33
36268,6,1,5,83.33
7840,65,11,54,83.08
13811,111,19,92,82.88
4396,87,15,72,82.76
13757,51,9,42,82.35
12967,33,6,27,81.82
38552,66,12,54,81.82
50289,96,18,78,81.25
53751,466,88,378,81.12
55538,201,38,163,81.09
42192,161,31,130,80.75
3605,41,8,33,80.49
5277,10,2,8,80.00
7334,15,3,12,80.00
52832,30,6,24,80.00
32926,89,18,71,79.78
13929,123,25,98,79.67
6946,102,21,81,79.41
8871,48,10,38,79.17
5713,24,5,19,79.17
57271,19,4,15,78.95
35543,33,7,26,78.79
27052,23,5,18,78.26
35239,9,2,7,77.78
55058,27,6,21,77.78
17078,63,14,49,77.78
13821,27,6,21,77.78
69225,57,13,44,77.19
6883,13,3,10,76.92
66075,47,11,36,76.60
4316,149,35,114,76.51
46358,17,4,13,76.47
39134,38,9,29,76.32
61454,76,18,58,76.32
64699,126,30,96,76.19
50342,83,20,63,75.90
41808,4,1,3,75.00
62773,4,1,3,75.00
167,4,1,3,75.00
41664,4,1,3,75.00
5444,4,1,3,75.00
23160,23,6,17,73.91
61266,19,5,14,73.68
18065,15,4,11,73.33
48594,15,4,11,73.33
29416,41,11,30,73.17
866,55,15,40,72.73
51366,22,6,16,72.73
976,11,3,8,72.73
11906,51,14,37,72.55
59628,18,5,13,72.22
68029,138,39,99,71.74
28732,137,39,98,71.53
12814,7,2,5,71.43
55148,69,20,49,71.01
28373,62,18,44,70.97
28690,72,21,51,70.83
52268,44,13,31,70.45
42990,57,17,40,70.18
