"userid","total_deposited","total_stakes","play_ratio_pct"
59212,237773.06,4034.07,1.70
35834,177897.25,547.55,0.31
30147,144328.00,196.41,0.14
61454,137685.00,27.57,0.02
16895,120279.64,0,0.00
62353,104108.00,0,0.00
15573,102562.00,11.10,0.01
972,90704.47,0,0.00
4316,79020.00,0,0.00
13996,68182.00,0,0.00
20660,66811.04,0,0.00
55272,63367.06,130.13,0.21
44196,61391.50,1023.48,1.67
14462,61135.01,60.30,0.10
36647,61061.00,0,0.00
41128,60476.00,4197.77,6.94
32552,60255.80,1100.41,1.83
53751,59699.00,0,0.00
63058,57411.63,10.47,0.02
31136,56769.06,2.18,0.00
41630,54926.00,3855.49,7.02
66986,54507.00,2063.13,3.79
2822,53798.50,9.20,0.02
33395,49936.15,267.30,0.54
49233,49303.86,287.36,0.58
53737,48805.82,0,0.00
47892,48180.80,966.44,2.01
62918,47369.31,0,0.00
42482,43692.93,381.16,0.87
39739,42767.93,7.96,0.02
52403,42555.00,0.84,0.00
71535,42344.00,1.86,0.00
36718,42283.00,0,0.00
16199,41634.95,0,0.00
11906,40096.00,3701.14,9.23
55148,39925.92,0,0.00
13929,39273.98,0,0.00
54591,39087.00,0.00,0.00
49429,38472.49,6215.15,16.15
55822,38289.50,2835.18,7.40
12297,38251.00,126.83,0.33
22595,36939.03,2276.12,6.16
985,34940.00,0,0.00
2090,33829.00,2136.21,6.31
39046,33555.00,7716.31,23.00
60063,33504.53,1584.68,4.73
56056,32673.65,0,0.00
23160,31598.86,9597.30,30.37
10052,30976.50,3.51,0.01
13811,30575.00,0,0.00
34304,30440.00,0,0.00
17612,30364.40,10791.06,35.54
22587,30200.00,147.16,0.49
29623,29628.17,15.58,0.05
55065,29029.00,0,0.00
56833,28875.00,2.80,0.01
29382,28190.94,981.59,3.48
62443,27535.00,0.00,0.00
63697,27101.99,0,0.00
4980,27078.93,959.82,3.54
36835,26180.41,823.96,3.15
22118,25856.02,446.30,1.73
28496,25811.14,4897.09,18.97
24416,24904.96,423.46,1.70
38979,24160.00,0,0.00
37670,24018.40,6023.72,25.08
10695,23861.60,0,0.00
45300,23457.84,15.73,0.07
27528,23034.14,0,0.00
39907,22888.91,7345.65,32.09
52268,22488.00,0,0.00
65525,22240.00,5146.99,23.14
62642,21884.00,29.34,0.13
28729,21472.88,428.76,2.00
20179,21307.57,534.13,2.51
16555,20957.00,0.00,0.00
41975,20725.89,3941.60,19.02
68474,20379.36,11.95,0.06
49733,20325.22,0,0.00
14666,20242.90,63.18,0.31
60975,20015.60,0,0.00
20500,20008.94,6490.05,32.44
59628,19627.92,2648.62,13.49
62947,19467.99,3.56,0.02
41533,19424.19,0,0.00
23158,19319.44,50.77,0.26
17053,19230.98,517.51,2.69
51648,18835.90,4.41,0.02
56642,18725.27,0,0.00
7491,18710.20,0,0.00
23402,18455.54,2771.97,15.02
52777,18350.00,335.49,1.83
31029,18244.31,1882.27,10.32
3960,18198.00,76.19,0.42
35543,17909.93,0,0.00
43007,17745.00,503.22,2.84
66618,17111.40,135.22,0.79
57406,17094.72,97.80,0.57
48594,17081.00,331.16,1.94
16996,17052.30,0.64,0.00
7345,16847.11,0,0.00
4396,16674.00,0,0.00
21620,16550.00,0.00,0.00
49048,16070.00,0,0.00
23099,16061.78,2.16,0.01
4888,16035.63,13.29,0.08
66460,15923.10,270.17,1.70
55759,15911.59,0.83,0.01
32926,15790.03,5424.22,34.35
68319,15683.00,63.71,0.41
42192,15664.40,560.99,3.58
17560,15435.00,830.06,5.38
51366,15370.78,2982.03,19.40
16845,15328.00,10.85,0.07
28732,15317.97,1.89,0.01
29821,15277.50,0,0.00
52573,15214.98,417.55,2.74
3933,15057.35,3637.36,24.16
62452,15024.00,591.72,3.94
227,14878.00,4879.11,32.79
50289,14727.55,0,0.00
55538,14642.00,1049.56,7.17
63909,14617.56,429.83,2.94
7334,14580.00,3.57,0.02
6946,14501.80,1.68,0.01
53960,14481.94,16.27,0.11
33327,14358.32,0,0.00
57584,14340.00,1651.31,11.52
64699,14103.94,0,0.00
17078,14066.18,19.58,0.14
68029,14020.00,45.29,0.32
2683,13968.42,16.47,0.12
30478,13966.00,32.26,0.23
45041,13948.73,31.12,0.22
19450,13930.00,458.65,3.29
18065,13846.00,0,0.00
69225,13826.00,95.31,0.69
39253,13363.50,362.61,2.71
46802,13114.59,550.14,4.19
9896,13075.00,3.51,0.03
27052,12900.00,0,0.00
8871,12743.00,0,0.00
6902,12487.20,0,0.00
62692,12485.00,18.86,0.15
39091,12474.00,523.10,4.19
