"userid","deposit_failure_flag","withdrawal_reversal_flag","quick_withdrawal_flag","low_play_flag","total_flags"
598,1,0,1,1,3
5713,1,1,0,1,3
7840,1,1,0,1,3
8221,1,1,0,1,3
9193,1,0,1,1,3
13821,1,1,0,1,3
16280,1,0,1,1,3
28732,0,1,1,1,3
33951,1,1,0,1,3
42990,1,1,0,1,3
48053,1,0,1,1,3
55272,0,1,1,1,3
55330,1,0,1,1,3
56009,1,0,1,1,3
62947,1,1,0,1,3
64454,0,1,1,1,3
68029,0,1,1,1,3
68506,1,0,1,1,3
70600,1,1,0,1,3
73,1,0,0,1,2
167,0,1,1,0,2
803,1,0,0,1,2
972,0,1,0,1,2
976,0,1,0,1,2
1137,0,0,1,1,2
1580,0,0,1,1,2
1793,0,0,1,1,2
2860,1,0,0,1,2
3512,1,0,0,1,2
3605,0,1,0,1,2
3755,0,1,0,1,2
3779,0,0,1,1,2
3796,1,0,0,1,2
4316,0,1,0,1,2
4396,0,1,0,1,2
4888,0,1,0,1,2
5101,1,0,0,1,2
5277,0,1,0,1,2
5444,1,1,0,0,2
5537,0,0,1,1,2
5725,1,0,0,1,2
6478,1,0,0,1,2
6517,1,0,0,1,2
6946,0,1,0,1,2
7334,0,1,0,1,2
7345,0,1,0,1,2
7351,1,0,0,1,2
7491,0,1,0,1,2
7866,1,0,0,1,2
7921,1,0,0,1,2
8209,0,0,1,1,2
8871,0,1,0,1,2
8940,0,0,1,1,2
8983,0,0,1,1,2
9150,1,0,0,1,2
9569,1,0,0,1,2
10562,0,1,0,1,2
10864,1,0,0,1,2
11580,1,0,0,1,2
11806,0,1,0,1,2
11823,1,0,0,1,2
11906,0,1,0,1,2
12032,1,0,0,1,2
12340,1,0,0,1,2
12814,0,1,0,1,2
13049,1,0,0,1,2
13448,0,1,0,1,2
13537,1,0,0,1,2
13701,1,0,0,1,2
13757,0,1,0,1,2
13811,0,1,0,1,2
13929,0,1,0,1,2
13963,1,0,0,1,2
13996,0,1,0,1,2
14131,0,1,0,1,2
14165,1,0,0,1,2
14482,0,1,0,1,2
15188,1,0,0,1,2
16136,1,0,0,1,2
16331,0,1,0,1,2
16453,1,0,0,1,2
16555,1,0,0,1,2
16601,1,0,0,1,2
16895,0,1,0,1,2
17078,0,1,0,1,2
17507,1,0,0,1,2
17696,0,0,1,1,2
18065,0,1,0,1,2
18085,1,0,0,1,2
19008,0,1,0,1,2
19022,0,0,1,1,2
19339,1,0,0,1,2
19680,1,0,0,1,2
19841,1,0,0,1,2
