"userid","first_deposit_date","first_withdrawal_date","days_to_withdraw"
36478,"2015-02-18","2015-02-18",0
598,"2015-02-01","2015-02-01",0
167,"2015-02-01","2015-02-01",0
68029,"2015-02-27","2015-02-27",0
64454,"2015-03-06","2015-03-06",0
30335,"2015-02-23","2015-02-23",0
69523,"2015-02-28","2015-02-28",0
9193,"2015-02-04","2015-02-04",0
55233,"2015-02-22","2015-02-22",0
45810,"2015-02-19","2015-02-19",0
72171,"2015-02-28","2015-02-28",0
124,"2015-02-01","2015-02-01",0
66102,"2015-02-26","2015-02-26",0
8209,"2015-02-04","2015-02-04",0
12774,"2015-02-06","2015-02-06",0
34204,"2015-02-14","2015-02-14",0
64076,"2015-02-26","2015-02-26",0
37437,"2015-02-26","2015-02-26",0
46224,"2015-02-19","2015-02-19",0
62838,"2015-03-09","2015-03-09",0
55272,"2015-02-22","2015-02-22",0
56009,"2015-03-07","2015-03-07",0
33352,"2015-03-02","2015-03-02",0
10018,"2015-02-07","2015-02-07",0
43896,"2015-02-18","2015-02-18",0
19022,"2017-08-12","2017-08-12",0
21712,"2015-02-21","2015-02-21",0
55330,"2015-02-23","2015-02-23",0
9037,"2015-02-09","2015-02-09",0
41274,"2015-04-07","2015-04-07",0
33395,"2015-02-14","2015-02-14",0
28670,"2015-02-19","2015-02-19",0
49428,"2015-02-21","2015-02-21",0
5074,"2015-07-30","2015-07-30",0
17696,"2015-02-08","2015-02-08",0
6378,"2015-02-07","2015-02-08",1
48124,"2015-02-20","2015-02-21",1
8940,"2015-02-04","2015-02-05",1
63363,"2015-02-27","2015-02-28",1
25432,"2015-03-05","2015-03-06",1
48699,"2015-02-20","2015-02-21",1
70689,"2015-02-28","2015-03-01",1
5537,"2015-02-02","2015-02-03",1
21303,"2015-03-01","2015-03-02",1
46196,"2015-02-19","2015-02-20",1
70389,"2015-02-28","2015-03-01",1
48053,"2015-02-22","2015-02-23",1
45706,"2015-02-19","2015-02-20",1
16280,"2016-12-28","2016-12-29",1
37989,"2015-02-16","2015-02-17",1
25576,"2015-03-21","2015-03-22",1
34768,"2015-02-15","2015-02-16",1
66680,"2015-02-27","2015-02-28",1
37605,"2015-02-16","2015-02-17",1
1580,"2015-02-14","2015-02-15",1
47628,"2015-02-20","2015-02-21",1
68506,"2015-02-27","2015-02-28",1
28278,"2015-02-12","2015-02-13",1
40188,"2015-02-17","2015-02-18",1
65934,"2015-02-26","2015-02-27",1
50326,"2015-02-21","2015-02-22",1
1137,"2015-02-01","2015-02-02",1
22298,"2015-02-16","2015-02-17",1
62333,"2015-04-09","2015-04-10",1
3005,"2015-02-01","2015-02-02",1
22279,"2015-02-10","2015-02-11",1
68150,"2015-02-27","2015-02-28",1
28732,"2015-02-13","2015-02-14",1
39253,"2015-02-19","2015-02-20",1
49572,"2015-02-21","2015-02-22",1
68222,"2015-02-27","2015-02-28",1
11052,"2015-02-07","2015-02-08",1
1793,"2015-02-01","2015-02-02",1
15719,"2015-02-07","2015-02-08",1
24391,"2015-02-11","2015-02-12",1
22118,"2015-02-10","2015-02-11",1
32151,"2015-02-14","2015-02-15",1
29172,"2015-03-17","2015-03-18",1
41942,"2015-02-18","2015-02-19",1
9161,"2015-02-04","2015-02-05",1
3779,"2015-02-02","2015-02-03",1
52858,"2015-02-22","2015-02-23",1
8983,"2015-02-04","2015-02-05",1
