"type","month","amount","count"
"Deposits","2015-02-01 00:00:00-05",583747.55,13607
"Withdrawals","2015-02-01 00:00:00-05",99762.26,580
"Deposits","2015-03-01 00:00:00-05",500701.36,11903
"Withdrawals","2015-03-01 00:00:00-05",209468.44,1118
"Deposits","2015-04-01 00:00:00-04",312897.70,7388
"Withdrawals","2015-04-01 00:00:00-04",166618.34,716
"Deposits","2015-05-01 00:00:00-04",229714.97,5878
"Withdrawals","2015-05-01 00:00:00-04",123527.04,497
"Deposits","2015-06-01 00:00:00-04",161010.70,3605
"Withdrawals","2015-06-01 00:00:00-04",93999.29,331
"Deposits","2015-07-01 00:00:00-04",97229.86,2672
"Withdrawals","2015-07-01 00:00:00-04",60120.50,208
"Deposits","2015-08-01 00:00:00-04",152854.71,3292
"Withdrawals","2015-08-01 00:00:00-04",58836.03,245
"Deposits","2015-09-01 00:00:00-04",150937.29,3602
"Withdrawals","2015-09-01 00:00:00-04",59944.60,289
"Deposits","2015-10-01 00:00:00-04",170045.85,3841
"Withdrawals","2015-10-01 00:00:00-04",96939.43,356
"Deposits","2015-11-01 00:00:00-04",158452.63,3600
"Withdrawals","2015-11-01 00:00:00-04",99854.86,344
"Deposits","2015-12-01 00:00:00-05",158119.36,3569
"Withdrawals","2015-12-01 00:00:00-05",61092.52,297
"Deposits","2016-01-01 00:00:00-05",139081.43,3535
"Withdrawals","2016-01-01 00:00:00-05",54403.49,297
"Deposits","2016-02-01 00:00:00-05",140379.92,3848
"Withdrawals","2016-02-01 00:00:00-05",86378.88,349
"Deposits","2016-03-01 00:00:00-05",139000.10,3511
"Withdrawals","2016-03-01 00:00:00-05",82166.19,268
"Deposits","2016-04-01 00:00:00-04",127085.38,3687
"Withdrawals","2016-04-01 00:00:00-04",56061.50,384
"Deposits","2016-05-01 00:00:00-04",149723.80,3038
"Withdrawals","2016-05-01 00:00:00-04",62139.13,223
"Deposits","2016-06-01 00:00:00-04",125373.60,2960
"Withdrawals","2016-06-01 00:00:00-04",65936.20,288
"Deposits","2016-07-01 00:00:00-04",88090.92,2501
"Withdrawals","2016-07-01 00:00:00-04",46820.47,258
"Deposits","2016-08-01 00:00:00-04",88750.53,2505
"Withdrawals","2016-08-01 00:00:00-04",37582.84,261
"Deposits","2016-09-01 00:00:00-04",98425.89,2786
"Withdrawals","2016-09-01 00:00:00-04",59813.96,274
"Deposits","2016-10-01 00:00:00-04",125614.93,3322
"Withdrawals","2016-10-01 00:00:00-04",84756.64,318
"Deposits","2016-11-01 00:00:00-04",114066.45,3237
"Withdrawals","2016-11-01 00:00:00-04",56846.21,302
"Deposits","2016-12-01 00:00:00-05",115946.12,3118
"Withdrawals","2016-12-01 00:00:00-05",67925.59,290
"Deposits","2017-01-01 00:00:00-05",152253.67,3245
"Withdrawals","2017-01-01 00:00:00-05",53989.57,277
"Deposits","2017-02-01 00:00:00-05",163597.06,3344
"Withdrawals","2017-02-01 00:00:00-05",106081.65,293
"Deposits","2017-03-01 00:00:00-05",189322.42,3623
"Withdrawals","2017-03-01 00:00:00-05",109512.17,378
"Deposits","2017-04-01 00:00:00-04",180237.56,3712
