"userid","amount_lost","total_stakes","play_days","loss_pct"
26778,37723.24,944249.88,106,4.00
5886,26432.55,371870.59,738,7.11
43598,22004.85,314197.79,262,7.00
10192,21272.27,171229.51,279,12.42
8442,20245.73,258107.71,166,7.84
9593,17662.24,260874.88,182,6.77
37324,17258.02,148106.39,67,11.65
65229,17132.42,380250.52,85,4.51
33073,16177.75,152740.67,77,10.59
2092,15645.47,404527.49,367,3.87
56223,13779.90,247035.70,974,5.58
6078,11986.76,81773.60,6,14.66
9977,11778.74,169244.67,114,6.96
20888,9505.50,144682.02,21,6.57
58295,9254.36,18001.57,1,51.41
71398,8610.74,123000.60,31,7.00
22258,7792.24,65945.38,175,11.82
62529,7538.07,182973.00,26,4.12
46358,7067.42,77183.04,63,9.16
58678,6579.71,126541.25,177,5.20
