"userid","net_profit","total_stakes","play_days","roi_pct"
5210,51812.08,4057811.02,572,1.28
21628,50775.95,3156547.91,170,1.61
9093,25922.20,3742450.90,183,0.69
39164,12751.83,1240717.29,98,1.03
50642,6651.48,495239.30,120,1.34
27523,4575.45,316883.17,112,1.44
41248,4501.19,411104.84,326,1.09
10427,4361.75,300127.89,61,1.45
4260,2631.16,159052.65,80,1.65
1876,1413.99,33610.21,53,4.21
7604,1114.65,301052.99,39,0.37
12694,1031.33,43309.85,21,2.38
20980,986.74,39134.47,19,2.52
39139,957.54,2398.71,25,39.92
4961,926.10,48245.52,110,1.92
10499,788.87,34295.06,178,2.30
66273,776.64,107999.47,135,0.72
37813,735.87,49563.61,113,1.48
48085,728.86,40649.89,75,1.79
55554,699.08,2275.80,1,30.72
