"userid","processdate","amount","prev_deposit_date","days_since_prev"
11,"2015-02-09",25.00,"2015-02-01",8
14,"2015-02-02",48.75,"2015-02-01",1
22,"2015-05-20",10.00,"2015-02-03",106
22,"2015-05-20",10.00,"2015-05-20",0
22,"2016-02-21",10.00,"2015-05-20",277
37,"2015-02-02",10.00,"2015-02-01",1
37,"2015-02-03",10.00,"2015-02-02",1
37,"2015-02-05",10.00,"2015-02-03",2
37,"2015-02-05",10.00,"2015-02-05",0
37,"2015-02-08",10.00,"2015-02-05",3
37,"2015-02-08",10.00,"2015-02-08",0
37,"2015-02-09",10.00,"2015-02-08",1
37,"2015-02-12",10.00,"2015-02-09",3
37,"2015-02-23",10.00,"2015-02-12",11
37,"2015-02-23",10.00,"2015-02-23",0
37,"2015-02-25",10.00,"2015-02-23",2
37,"2015-02-27",10.00,"2015-02-25",2
37,"2015-03-02",10.00,"2015-02-27",3
37,"2015-03-03",10.00,"2015-03-02",1
37,"2015-03-06",10.00,"2015-03-03",3
37,"2015-03-08",10.00,"2015-03-06",2
37,"2015-03-09",10.00,"2015-03-08",1
37,"2015-03-11",10.00,"2015-03-09",2
37,"2015-03-11",10.00,"2015-03-11",0
37,"2015-03-11",10.00,"2015-03-11",0
37,"2015-03-12",10.00,"2015-03-11",1
37,"2015-03-14",10.00,"2015-03-12",2
37,"2015-03-16",10.00,"2015-03-14",2
37,"2015-03-16",10.00,"2015-03-16",0
37,"2015-03-22",10.00,"2015-03-16",6
37,"2015-03-24",10.00,"2015-03-22",2
37,"2015-03-25",10.00,"2015-03-24",1
37,"2015-03-27",10.00,"2015-03-25",2
37,"2015-04-07",10.00,"2015-03-27",11
37,"2015-04-12",10.00,"2015-04-07",5
37,"2015-05-03",10.00,"2015-04-12",21
37,"2015-05-17",10.00,"2015-05-03",14
37,"2015-05-21",10.00,"2015-05-17",4
37,"2015-11-15",10.00,"2015-05-21",178
37,"2015-11-16",10.00,"2015-11-15",1
37,"2015-11-17",10.00,"2015-11-16",1
37,"2015-11-18",10.00,"2015-11-17",1
37,"2015-11-18",10.00,"2015-11-18",0
37,"2015-11-20",10.00,"2015-11-18",2
37,"2015-11-20",10.00,"2015-11-20",0
37,"2015-11-27",10.00,"2015-11-20",7
37,"2016-02-14",10.00,"2015-11-27",79
37,"2016-02-15",10.00,"2016-02-14",1
37,"2016-02-16",10.00,"2016-02-15",1
37,"2016-02-20",10.00,"2016-02-16",4
