"month","ggr","prev_month_ggr","mom_change","mom_change_pct"
"2015-02-01 00:00:00-05",159355.60,NULL,NULL,NULL
"2015-03-01 00:00:00-05",120636.77,159355.60,-38718.83,-24.30
"2015-04-01 00:00:00-04",31156.04,120636.77,-89480.73,-74.17
"2015-05-01 00:00:00-04",23671.87,31156.04,-7484.17,-24.02
"2015-06-01 00:00:00-04",-5594.12,23671.87,-29265.99,-123.63
"2015-07-01 00:00:00-04",9310.56,-5594.12,14904.68,266.43
"2015-08-01 00:00:00-04",31284.66,9310.56,21974.10,236.01
"2015-09-01 00:00:00-04",10570.42,31284.66,-20714.24,-66.21
"2015-10-01 00:00:00-04",11858.85,10570.42,1288.43,12.19
"2015-11-01 00:00:00-04",14552.16,11858.85,2693.31,22.71
"2015-12-01 00:00:00-05",24906.75,14552.16,10354.59,71.16
"2016-01-01 00:00:00-05",-5294.88,24906.75,-30201.63,-121.26
"2016-02-01 00:00:00-05",-12322.47,-5294.88,-7027.59,-132.72
"2016-03-01 00:00:00-05",15054.66,-12322.47,27377.13,222.17
"2016-04-01 00:00:00-04",15485.87,15054.66,431.21,2.86
"2016-05-01 00:00:00-04",14842.26,15485.87,-643.61,-4.16
"2016-06-01 00:00:00-04",9732.61,14842.26,-5109.65,-34.43
"2016-07-01 00:00:00-04",6698.04,9732.61,-3034.57,-31.18
"2016-08-01 00:00:00-04",7749.36,6698.04,1051.32,15.70
"2016-09-01 00:00:00-04",6132.79,7749.36,-1616.57,-20.86
"2016-10-01 00:00:00-04",6715.93,6132.79,583.14,9.51
"2016-11-01 00:00:00-04",13936.47,6715.93,7220.54,107.51
"2016-12-01 00:00:00-05",5364.61,13936.47,-8571.86,-61.51
"2017-01-01 00:00:00-05",9561.82,5364.61,4197.21,78.24
"2017-02-01 00:00:00-05",14744.98,9561.82,5183.16,54.21
"2017-03-01 00:00:00-05",5772.15,14744.98,-8972.83,-60.85
"2017-04-01 00:00:00-04",3293.34,5772.15,-2478.81,-42.94
"2017-05-01 00:00:00-04",5347.34,3293.34,2054.00,62.37
"2017-06-01 00:00:00-04",3106.31,5347.34,-2241.03,-41.91
"2017-07-01 00:00:00-04",6959.27,3106.31,3852.96,124.04
"2017-08-01 00:00:00-04",11688.32,6959.27,4729.05,67.95
"2017-09-01 00:00:00-04",6127.18,11688.32,-5561.14,-47.58
"2017-10-01 00:00:00-04",8799.18,6127.18,2672.00,43.61
"2017-11-01 00:00:00-04",2132.00,8799.18,-6667.18,-75.77
"2017-12-01 00:00:00-05",13609.81,2132.00,11477.81,538.36
"2018-01-01 00:00:00-05",3824.89,13609.81,-9784.92,-71.90
"2018-02-01 00:00:00-05",444.24,3824.89,-3380.65,-88.39
"2018-03-01 00:00:00-05",-5977.43,444.24,-6421.67,-1445.54
"2018-04-01 00:00:00-04",-23991.94,-5977.43,-18014.51,-301.38
"2018-05-01 00:00:00-04",7510.90,-23991.94,31502.84,131.31
"2018-06-01 00:00:00-04",-201.59,7510.90,-7712.49,-102.68
"2018-07-01 00:00:00-04",-13234.31,-201.59,-13032.72,-6464.96
"2018-08-01 00:00:00-04",715.14,-13234.31,13949.45,105.40
"2018-09-01 00:00:00-04",5113.41,715.14,4398.27,615.02
"2018-10-01 00:00:00-04",3019.16,5113.41,-2094.25,-40.96
"2018-11-01 00:00:00-04",10213.60,3019.16,7194.44,238.29
"2018-12-01 00:00:00-05",3403.86,10213.60,-6809.74,-66.67
"2019-01-01 00:00:00-05",1865.23,3403.86,-1538.63,-45.20
"2019-02-01 00:00:00-05",1868.09,1865.23,2.86,0.15
"2019-03-01 00:00:00-05",2324.37,1868.09,456.28,24.42
"2019-04-01 00:00:00-04",2166.81,2324.37,-157.56,-6.78
"2019-05-01 00:00:00-04",2926.59,2166.81,759.78,35.06
"2019-06-01 00:00:00-04",6496.17,2926.59,3569.58,121.97
"2019-07-01 00:00:00-04",5747.86,6496.17,-748.31,-11.52
"2019-08-01 00:00:00-04",2430.40,5747.86,-3317.46,-57.72
"2019-09-01 00:00:00-04",3037.27,2430.40,606.87,24.97
"2019-10-01 00:00:00-04",3862.47,3037.27,825.20,27.17
"2019-11-01 00:00:00-04",647.96,3862.47,-3214.51,-83.22
"2019-12-01 00:00:00-05",15451.44,647.96,14803.48,2284.63
"2020-01-01 00:00:00-05",2021.19,15451.44,-13430.25,-86.92
"2020-02-01 00:00:00-05",3388.59,2021.19,1367.40,67.65
"2020-03-01 00:00:00-05",9296.80,3388.59,5908.21,174.36
"2020-04-01 00:00:00-04",5104.55,9296.80,-4192.25,-45.09
"2020-05-01 00:00:00-04",2719.99,5104.55,-2384.56,-46.71
"2020-06-01 00:00:00-04",6560.70,2719.99,3840.71,141.20
"2020-07-01 00:00:00-04",5549.59,6560.70,-1011.11,-15.41
