"month","ggr","moving_avg_3m"
"2015-02-01 00:00:00-05",159355.60,159355.60
"2015-03-01 00:00:00-05",120636.77,139996.19
"2015-04-01 00:00:00-04",31156.04,103716.14
"2015-05-01 00:00:00-04",23671.87,58488.23
"2015-06-01 00:00:00-04",-5594.12,16411.26
"2015-07-01 00:00:00-04",9310.56,9129.44
"2015-08-01 00:00:00-04",31284.66,11667.03
"2015-09-01 00:00:00-04",10570.42,17055.21
"2015-10-01 00:00:00-04",11858.85,17904.64
"2015-11-01 00:00:00-04",14552.16,12327.14
"2015-12-01 00:00:00-05",24906.75,17105.92
"2016-01-01 00:00:00-05",-5294.88,11388.01
"2016-02-01 00:00:00-05",-12322.47,2429.80
"2016-03-01 00:00:00-05",15054.66,-854.23
"2016-04-01 00:00:00-04",15485.87,6072.69
"2016-05-01 00:00:00-04",14842.26,15127.60
"2016-06-01 00:00:00-04",9732.61,13353.58
"2016-07-01 00:00:00-04",6698.04,10424.30
"2016-08-01 00:00:00-04",7749.36,8060.00
"2016-09-01 00:00:00-04",6132.79,6860.06
"2016-10-01 00:00:00-04",6715.93,6866.03
"2016-11-01 00:00:00-04",13936.47,8928.40
"2016-12-01 00:00:00-05",5364.61,8672.34
"2017-01-01 00:00:00-05",9561.82,9620.97
"2017-02-01 00:00:00-05",14744.98,9890.47
"2017-03-01 00:00:00-05",5772.15,10026.32
"2017-04-01 00:00:00-04",3293.34,7936.82
"2017-05-01 00:00:00-04",5347.34,4804.28
"2017-06-01 00:00:00-04",3106.31,3915.66
"2017-07-01 00:00:00-04",6959.27,5137.64
"2017-08-01 00:00:00-04",11688.32,7251.30
"2017-09-01 00:00:00-04",6127.18,8258.26
"2017-10-01 00:00:00-04",8799.18,8871.56
"2017-11-01 00:00:00-04",2132.00,5686.12
"2017-12-01 00:00:00-05",13609.81,8180.33
"2018-01-01 00:00:00-05",3824.89,6522.23
"2018-02-01 00:00:00-05",444.24,5959.65
"2018-03-01 00:00:00-05",-5977.43,-569.43
"2018-04-01 00:00:00-04",-23991.94,-9841.71
"2018-05-01 00:00:00-04",7510.90,-7486.16
"2018-06-01 00:00:00-04",-201.59,-5560.88
"2018-07-01 00:00:00-04",-13234.31,-1975.00
"2018-08-01 00:00:00-04",715.14,-4240.25
"2018-09-01 00:00:00-04",5113.41,-2468.59
"2018-10-01 00:00:00-04",3019.16,2949.24
"2018-11-01 00:00:00-04",10213.60,6115.39
"2018-12-01 00:00:00-05",3403.86,5545.54
"2019-01-01 00:00:00-05",1865.23,5160.90
"2019-02-01 00:00:00-05",1868.09,2379.06
"2019-03-01 00:00:00-05",2324.37,2019.23
"2019-04-01 00:00:00-04",2166.81,2119.76
"2019-05-01 00:00:00-04",2926.59,2472.59
"2019-06-01 00:00:00-04",6496.17,3863.19
"2019-07-01 00:00:00-04",5747.86,5056.87
"2019-08-01 00:00:00-04",2430.40,4891.48
"2019-09-01 00:00:00-04",3037.27,3738.51
"2019-10-01 00:00:00-04",3862.47,3110.05
"2019-11-01 00:00:00-04",647.96,2515.90
"2019-12-01 00:00:00-05",15451.44,6653.96
"2020-01-01 00:00:00-05",2021.19,6040.20
"2020-02-01 00:00:00-05",3388.59,6953.74
"2020-03-01 00:00:00-05",9296.80,4902.19
"2020-04-01 00:00:00-04",5104.55,5929.98
"2020-05-01 00:00:00-04",2719.99,5707.11
"2020-06-01 00:00:00-04",6560.70,4795.08
"2020-07-01 00:00:00-04",5549.59,4943.43
