"month","monthly_total","cumulative_deposits"
"2015-02-01 00:00:00-05",583747.55,583747.55
"2015-03-01 00:00:00-05",500701.36,1084448.91
"2015-04-01 00:00:00-04",312897.70,1397346.61
"2015-05-01 00:00:00-04",229714.97,1627061.58
"2015-06-01 00:00:00-04",161010.70,1788072.28
"2015-07-01 00:00:00-04",97229.86,1885302.14
"2015-08-01 00:00:00-04",152854.71,2038156.85
"2015-09-01 00:00:00-04",150937.29,2189094.14
"2015-10-01 00:00:00-04",170045.85,2359139.99
"2015-11-01 00:00:00-04",158452.63,2517592.62
"2015-12-01 00:00:00-05",158119.36,2675711.98
"2016-01-01 00:00:00-05",139081.43,2814793.41
"2016-02-01 00:00:00-05",140379.92,2955173.33
"2016-03-01 00:00:00-05",139000.10,3094173.43
"2016-04-01 00:00:00-04",127085.38,3221258.81
"2016-05-01 00:00:00-04",149723.80,3370982.61
"2016-06-01 00:00:00-04",125373.60,3496356.21
"2016-07-01 00:00:00-04",88090.92,3584447.13
"2016-08-01 00:00:00-04",88750.53,3673197.66
"2016-09-01 00:00:00-04",98425.89,3771623.55
"2016-10-01 00:00:00-04",125614.93,3897238.48
"2016-11-01 00:00:00-04",114066.45,4011304.93
"2016-12-01 00:00:00-05",115946.12,4127251.05
"2017-01-01 00:00:00-05",152253.67,4279504.72
"2017-02-01 00:00:00-05",163597.06,4443101.78
"2017-03-01 00:00:00-05",189322.42,4632424.20
"2017-04-01 00:00:00-04",180237.56,4812661.76
"2017-05-01 00:00:00-04",159218.97,4971880.73
"2017-06-01 00:00:00-04",125596.83,5097477.56
"2017-07-01 00:00:00-04",100177.88,5197655.44
"2017-08-01 00:00:00-04",150920.64,5348576.08
"2017-09-01 00:00:00-04",138999.90,5487575.98
"2017-10-01 00:00:00-04",146349.95,5633925.93
"2017-11-01 00:00:00-04",125362.81,5759288.74
"2017-12-01 00:00:00-05",197371.34,5956660.08
"2018-01-01 00:00:00-05",119780.01,6076440.09
"2018-02-01 00:00:00-05",112167.32,6188607.41
"2018-03-01 00:00:00-05",128530.82,6317138.23
"2018-04-01 00:00:00-04",139600.79,6456739.02
"2018-05-01 00:00:00-04",144165.32,6600904.34
"2018-06-01 00:00:00-04",163110.47,6764014.81
"2018-07-01 00:00:00-04",152741.90,6916756.71
"2018-08-01 00:00:00-04",141817.52,7058574.23
"2018-09-01 00:00:00-04",142435.97,7201010.20
"2018-10-01 00:00:00-04",133589.68,7334599.88
"2018-11-01 00:00:00-04",126420.66,7461020.54
"2018-12-01 00:00:00-05",142096.68,7603117.22
"2019-01-01 00:00:00-05",121205.90,7724323.12
"2019-02-01 00:00:00-05",119591.62,7843914.74
"2019-03-01 00:00:00-05",113893.10,7957807.84
"2019-04-01 00:00:00-04",119203.76,8077011.60
"2019-05-01 00:00:00-04",123686.49,8200698.09
"2019-06-01 00:00:00-04",107098.82,8307796.91
"2019-07-01 00:00:00-04",97199.80,8404996.71
"2019-08-01 00:00:00-04",111608.23,8516604.94
"2019-09-01 00:00:00-04",103679.60,8620284.54
"2019-10-01 00:00:00-04",114120.74,8734405.28
"2019-11-01 00:00:00-04",123937.78,8858343.06
"2019-12-01 00:00:00-05",153908.85,9012251.91
"2020-01-01 00:00:00-05",114422.71,9126674.62
"2020-02-01 00:00:00-05",119829.12,9246503.74
"2020-03-01 00:00:00-05",97177.63,9343681.37
"2020-04-01 00:00:00-04",69779.76,9413461.13
"2020-05-01 00:00:00-04",95904.41,9509365.54
"2020-06-01 00:00:00-04",93273.68,9602639.22
"2020-07-01 00:00:00-04",82555.12,9685194.34
