"userid","processdate","amount","running_total","deposit_number"
22,"2015-02-03",20.00,20.00,1
22,"2015-05-20",10.00,30.00,2
22,"2015-05-20",10.00,40.00,3
22,"2016-02-21",10.00,50.00,4
37,"2015-02-01",20.00,20.00,1
37,"2015-02-02",10.00,30.00,2
37,"2015-02-03",10.00,40.00,3
37,"2015-02-05",10.00,50.00,4
37,"2015-02-05",10.00,60.00,5
37,"2015-02-08",10.00,70.00,6
37,"2015-02-08",10.00,80.00,7
37,"2015-02-09",10.00,90.00,8
37,"2015-02-12",10.00,100.00,9
37,"2015-02-23",10.00,110.00,10
37,"2015-02-23",10.00,120.00,11
37,"2015-02-25",10.00,130.00,12
37,"2015-02-27",10.00,140.00,13
37,"2015-03-02",10.00,150.00,14
37,"2015-03-03",10.00,160.00,15
37,"2015-03-06",10.00,170.00,16
37,"2015-03-08",10.00,180.00,17
37,"2015-03-09",10.00,190.00,18
37,"2015-03-11",10.00,200.00,19
37,"2015-03-11",10.00,210.00,20
37,"2015-03-11",10.00,220.00,21
37,"2015-03-12",10.00,230.00,22
37,"2015-03-14",10.00,240.00,23
37,"2015-03-16",10.00,250.00,24
37,"2015-03-16",10.00,260.00,25
37,"2015-03-22",10.00,270.00,26
37,"2015-03-24",10.00,280.00,27
37,"2015-03-25",10.00,290.00,28
37,"2015-03-27",10.00,300.00,29
37,"2015-04-07",10.00,310.00,30
37,"2015-04-12",10.00,320.00,31
37,"2015-05-03",10.00,330.00,32
37,"2015-05-17",10.00,340.00,33
37,"2015-05-21",10.00,350.00,34
37,"2015-11-15",10.00,360.00,35
37,"2015-11-16",10.00,370.00,36
37,"2015-11-17",10.00,380.00,37
37,"2015-11-18",10.00,390.00,38
37,"2015-11-18",10.00,400.00,39
37,"2015-11-20",10.00,410.00,40
37,"2015-11-20",10.00,420.00,41
37,"2015-11-27",10.00,430.00,42
37,"2016-02-14",10.00,440.00,43
37,"2016-02-15",10.00,450.00,44
37,"2016-02-16",10.00,460.00,45
37,"2016-02-20",10.00,470.00,46
37,"2016-02-22",10.00,480.00,47
37,"2016-02-24",10.00,490.00,48
37,"2016-02-26",10.00,500.00,49
37,"2016-02-27",10.00,510.00,50
37,"2016-03-06",10.00,520.00,51
37,"2016-03-12",10.00,530.00,52
37,"2016-03-13",10.00,540.00,53
37,"2016-03-19",10.00,550.00,54
37,"2016-03-20",10.00,560.00,55
37,"2016-03-26",10.00,570.00,56
37,"2016-03-30",10.00,580.00,57
37,"2016-04-02",10.00,590.00,58
37,"2016-04-03",10.00,600.00,59
37,"2016-04-05",10.00,610.00,60
37,"2016-04-06",10.00,620.00,61
37,"2016-04-07",10.00,630.00,62
37,"2016-04-09",10.00,640.00,63
37,"2016-04-10",10.00,650.00,64
37,"2016-04-12",10.00,660.00,65
37,"2016-04-13",10.00,670.00,66
37,"2016-04-16",10.00,680.00,67
37,"2016-04-17",10.00,690.00,68
37,"2016-04-17",10.00,700.00,69
37,"2016-04-23",10.00,710.00,70
37,"2016-04-24",10.00,720.00,71
37,"2016-04-30",10.00,730.00,72
37,"2016-05-01",10.00,740.00,73
37,"2016-05-02",10.00,750.00,74
37,"2016-05-03",10.00,760.00,75
37,"2016-05-05",10.00,770.00,76
37,"2016-05-06",10.00,780.00,77
37,"2016-05-07",10.00,790.00,78
37,"2016-05-08",10.00,800.00,79
37,"2016-05-09",10.00,810.00,80
37,"2016-05-11",10.00,820.00,81
37,"2016-05-14",10.00,830.00,82
37,"2016-05-15",15.00,845.00,83
37,"2016-05-16",15.00,860.00,84
37,"2016-05-16",10.00,870.00,85
37,"2016-05-17",10.00,880.00,86
37,"2016-05-18",10.00,890.00,87
37,"2016-05-20",10.00,900.00,88
37,"2016-05-21",15.00,915.00,89
37,"2016-05-22",15.00,930.00,90
37,"2016-05-24",10.00,940.00,91
37,"2016-05-26",10.00,950.00,92
37,"2016-05-28",10.00,960.00,93
37,"2016-11-20",20.00,980.00,94
37,"2017-02-25",20.00,1000.00,95
37,"2017-12-30",15.00,1015.00,96
38,"2015-02-01",10.00,10.00,1
38,"2015-02-02",25.00,35.00,2
38,"2015-02-04",20.00,55.00,3
38,"2015-02-11",10.00,65.00,4
38,"2015-02-18",20.00,85.00,5
38,"2015-08-29",15.00,100.00,6
38,"2015-09-10",10.00,110.00,7
38,"2015-09-13",10.00,120.00,8
38,"2015-09-13",10.00,130.00,9
38,"2015-09-26",10.00,140.00,10
38,"2015-10-06",10.00,150.00,11
38,"2016-05-07",10.00,160.00,12
38,"2016-07-13",10.00,170.00,13
38,"2016-07-20",10.00,180.00,14
38,"2016-07-30",10.00,190.00,15
38,"2016-09-25",10.00,200.00,16
38,"2016-09-30",10.00,210.00,17
38,"2016-10-07",12.00,222.00,18
38,"2016-10-15",25.00,247.00,19
38,"2016-10-28",40.00,287.00,20
38,"2016-12-12",20.00,307.00,21
38,"2017-01-02",10.00,317.00,22
38,"2017-01-02",10.00,327.00,23
38,"2017-01-02",10.00,337.00,24
38,"2017-01-09",10.00,347.00,25
38,"2017-01-10",10.00,357.00,26
38,"2017-01-10",10.00,367.00,27
38,"2017-01-13",100.00,467.00,28
38,"2017-01-17",17.07,484.07,29
38,"2017-01-26",20.00,504.07,30
38,"2017-01-29",250.00,754.07,31
38,"2017-01-29",10.00,764.07,32
38,"2017-02-05",13.50,777.57,33
38,"2017-02-08",50.00,827.57,34
38,"2017-02-20",20.00,847.57,35
38,"2017-03-01",10.00,857.57,36
38,"2017-03-20",10.00,867.57,37
38,"2017-03-23",110.00,977.57,38
38,"2017-04-22",10.00,987.57,39
38,"2017-04-28",50.00,1037.57,40
38,"2017-04-28",110.00,1147.57,41
38,"2017-05-01",100.00,1247.57,42
38,"2017-05-04",10.00,1257.57,43
38,"2017-05-13",10.00,1267.57,44
38,"2017-05-14",10.00,1277.57,45
38,"2017-08-02",10.00,1287.57,46
38,"2017-08-17",10.00,1297.57,47
38,"2017-09-09",10.00,1307.57,48
38,"2017-09-27",10.00,1317.57,49
38,"2017-10-03",10.00,1327.57,50
38,"2017-11-04",10.00,1337.57,51
38,"2017-11-05",12.00,1349.57,52
38,"2018-02-22",10.00,1359.57,53
38,"2018-02-23",10.00,1369.57,54
38,"2018-03-03",10.00,1379.57,55
38,"2018-04-12",10.00,1389.57,56
38,"2018-04-14",10.00,1399.57,57
38,"2018-04-15",10.00,1409.57,58
38,"2018-04-18",10.00,1419.57,59
38,"2018-04-20",10.00,1429.57,60
38,"2018-05-04",10.00,1439.57,61
38,"2018-05-05",10.00,1449.57,62
38,"2018-05-16",10.00,1459.57,63
38,"2018-05-19",10.00,1469.57,64
38,"2018-05-25",10.00,1479.57,65
38,"2018-07-04",10.00,1489.57,66
38,"2018-07-21",10.00,1499.57,67
38,"2018-11-16",10.00,1509.57,68
38,"2018-12-12",10.00,1519.57,69
38,"2018-12-19",10.00,1529.57,70
38,"2018-12-22",20.00,1549.57,71
38,"2018-12-27",10.00,1559.57,72
38,"2019-01-09",10.00,1569.57,73
38,"2019-02-08",10.00,1579.57,74
38,"2019-03-06",10.00,1589.57,75
38,"2019-03-06",10.00,1599.57,76
38,"2019-03-29",10.00,1609.57,77
38,"2019-03-29",10.00,1619.57,78
38,"2019-04-04",10.00,1629.57,79
38,"2019-04-04",10.00,1639.57,80
38,"2019-04-11",10.00,1649.57,81
38,"2019-04-17",10.00,1659.57,82
38,"2019-04-18",10.00,1669.57,83
38,"2019-04-18",10.00,1679.57,84
38,"2019-04-21",10.00,1689.57,85
38,"2019-04-28",10.00,1699.57,86
38,"2019-05-04",10.00,1709.57,87
38,"2019-05-11",10.00,1719.57,88
38,"2019-05-18",10.00,1729.57,89
38,"2019-05-18",10.00,1739.57,90
38,"2019-05-19",10.00,1749.57,91
38,"2019-06-02",10.00,1759.57,92
38,"2019-06-09",19.02,1778.59,93
38,"2019-06-14",10.00,1788.59,94
38,"2019-06-16",10.00,1798.59,95
38,"2019-06-16",10.00,1808.59,96
38,"2019-06-18",13.00,1821.59,97
38,"2019-06-20",10.00,1831.59,98
38,"2019-06-24",10.00,1841.59,99
38,"2019-06-27",10.00,1851.59,100
38,"2019-08-17",10.00,1861.59,101
38,"2019-08-20",10.00,1871.59,102
38,"2019-09-04",10.00,1881.59,103
38,"2019-09-08",10.00,1891.59,104
38,"2019-09-15",18.63,1910.22,105
38,"2019-09-17",10.00,1920.22,106
38,"2019-09-29",10.00,1930.22,107
38,"2019-10-01",10.00,1940.22,108
38,"2019-10-05",10.00,1950.22,109
38,"2019-10-11",10.00,1960.22,110
38,"2019-11-03",100.00,2060.22,111
38,"2019-12-14",100.00,2160.22,112
38,"2019-12-15",200.00,2360.22,113
38,"2020-01-06",199.00,2559.22,114
38,"2020-01-25",100.00,2659.22,115
38,"2020-06-09",200.00,2859.22,116
42,"2015-02-01",30.00,30.00,1
42,"2015-02-01",31.00,61.00,2
42,"2015-02-01",59.00,120.00,3
42,"2015-02-07",25.00,145.00,4
42,"2015-02-10",25.50,170.50,5
70,"2015-02-01",61.10,61.10,1
70,"2015-03-14",31.21,92.31,2
70,"2015-04-09",31.42,123.73,3
70,"2015-04-19",31.26,154.99,4
70,"2015-05-13",29.66,184.65,5
70,"2015-05-15",29.45,214.10,6
70,"2015-07-30",28.32,242.42,7
70,"2015-08-03",56.65,299.07,8
70,"2015-08-29",26.63,325.70,9
70,"2015-09-04",27.22,352.92,10
70,"2015-09-14",26.71,379.63,11
70,"2015-09-27",26.57,406.20,12
70,"2015-09-29",26.78,432.98,13
70,"2015-10-14",27.08,460.06,14
70,"2015-10-23",16.37,476.43,15
70,"2015-10-28",27.87,504.30,16
70,"2015-11-04",16.93,521.23,17
70,"2015-11-20",28.59,549.82,18
70,"2015-11-24",28.95,578.77,19
70,"2015-12-13",13.59,592.36,20
70,"2016-01-08",26.70,619.06,21
70,"2016-02-05",10.09,629.15,22
70,"2016-02-16",24.14,653.29,23
70,"2016-02-18",29.33,682.62,24
70,"2016-02-24",25.50,708.12,25
70,"2016-02-25",30.49,738.61,26
70,"2016-03-01",30.79,769.40,27
70,"2016-03-09",20.76,790.16,28
70,"2016-03-18",25.83,815.99,29
70,"2016-03-30",26.02,842.01,30
70,"2016-04-08",25.32,867.33,31
70,"2016-04-08",9.11,876.44,32
70,"2016-04-10",20.19,896.63,33
70,"2016-04-15",20.74,917.37,34
70,"2016-04-28",15.26,932.63,35
70,"2016-05-07",24.59,957.22,36
70,"2016-05-27",12.12,969.34,37
70,"2016-05-28",106.63,1075.97,38
70,"2016-06-30",14.47,1090.44,39
70,"2016-07-02",9.74,1100.18,40
70,"2016-07-05",48.88,1149.06,41
70,"2016-07-15",19.66,1168.72,42
70,"2016-07-22",24.33,1193.05,43
70,"2016-08-27",24.03,1217.08,44
70,"2016-09-09",14.45,1231.53,45
70,"2016-10-06",23.12,1254.65,46
70,"2016-10-13",19.17,1273.82,47
70,"2016-10-22",9.83,1283.65,48
70,"2016-10-28",9.76,1293.41,49
70,"2017-01-06",13.83,1307.24,50
70,"2017-01-14",12.95,1320.19,51
70,"2017-02-25",23.86,1344.05,52
70,"2017-03-18",9.71,1353.76,53
70,"2017-04-09",9.97,1363.73,54
70,"2017-04-22",24.73,1388.46,55
70,"2017-05-29",24.18,1412.64,56
70,"2017-06-03",9.57,1422.21,57
70,"2017-06-28",19.85,1442.06,58
70,"2017-07-17",12.34,1454.40,59
70,"2017-08-05",11.81,1466.21,60
70,"2017-08-27",9.58,1475.79,61
70,"2017-09-17",9.48,1485.27,62
70,"2017-09-23",23.52,1508.79,63
70,"2017-11-18",22.16,1530.95,64
70,"2017-12-03",22.65,1553.60,65
70,"2018-02-04",21.68,1575.28,66
70,"2018-03-03",21.71,1596.99,67
70,"2018-03-09",21.41,1618.40,68
70,"2018-04-28",21.84,1640.24,69
70,"2018-05-04",21.95,1662.19,70
70,"2018-06-09",20.75,1682.94,71
70,"2018-06-13",20.75,1703.69,72
70,"2018-08-04",13.84,1717.53,73
70,"2018-09-09",8.91,1726.44,74
70,"2018-09-16",13.59,1740.03,75
70,"2018-12-07",12.90,1752.93,76
70,"2019-02-03",13.68,1766.61,77
70,"2019-02-04",11.40,1778.01,78
70,"2019-02-24",22.90,1800.91,79
70,"2019-03-16",13.73,1814.64,80
70,"2019-05-25",28.25,1842.89,81
70,"2019-07-07",27.97,1870.86,82
70,"2019-08-16",22.94,1893.80,83
70,"2019-08-20",22.90,1916.70,84
70,"2019-08-24",22.84,1939.54,85
70,"2019-08-27",22.55,1962.09,86
70,"2019-09-01",35.86,1997.95,87
70,"2019-09-03",27.18,2025.13,88
70,"2019-09-03",15.85,2040.98,89
70,"2019-09-05",22.75,2063.73,90
70,"2019-09-22",23.30,2087.03,91
70,"2019-09-28",27.98,2115.01,92
70,"2019-09-29",23.31,2138.32,93
70,"2019-09-29",23.31,2161.63,94
70,"2019-10-01",23.20,2184.83,95
70,"2019-10-03",27.80,2212.63,96
70,"2019-10-07",23.32,2235.95,97
70,"2019-10-11",23.26,2259.21,98
70,"2019-10-12",46.56,2305.77,99
70,"2019-10-13",23.28,2329.05,100
70,"2019-11-14",23.43,2352.48,101
70,"2020-01-04",56.77,2409.25,102
70,"2020-01-06",9.47,2418.72,103
70,"2020-01-12",23.91,2442.63,104
70,"2020-02-02",48.53,2491.16,105
70,"2020-02-05",14.39,2505.55,106
70,"2020-02-22",14.85,2520.40,107
