"userid","total_deposited","deposit_rank","dense_rank","decile"
59212,237773.06,1,1,1
35834,177897.25,2,2,1
30147,144328.00,3,3,1
61454,137685.00,4,4,1
16895,120279.64,5,5,1
62353,104108.00,6,6,1
15573,102562.00,7,7,1
972,90704.47,8,8,1
4316,79020.00,9,9,1
5210,77099.78,10,10,1
65229,77033.00,11,11,1
13996,68182.00,12,12,1
20660,66811.04,13,13,1
55272,63367.06,14,14,1
44196,61391.50,15,15,1
14462,61135.01,16,16,1
36647,61061.00,17,17,1
41128,60476.00,18,18,1
32552,60255.80,19,19,1
53751,59699.00,20,20,1
